,returns_q,W-stat,W-p-stat,t-stat,t-p-val
0,q10,0.9486145876548766,0.15519619235270643,-5.910808763336725,2.0349258985880475e-06
1,q25,0.9410297221287957,0.09695818884866843,-6.592272305531236,3.181263954924221e-07
2,q50,0.9475295438626448,0.14511758227647464,-6.185281438337577,9.592847323826213e-07
3,q75,0.9483677466369531,0.15284491781258386,-5.327543200904708,1.0208340331903483e-05
