x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,objFunc
0.101344,0.113237,0.066057,0.071567,0.03633,0.057348,0.122598,0.029773,0.018235,0.015179,0.028605,0.010704,0.018586,0.026545,0.0,0.019892,0.000975,0.009434,0.011792,0.0,0.004712,0.0,0.0,0.003676,0.028879,0.013336,0.002272,0.019104,0.022075,0.009005,0.004694,0.012452,0.004693,0.002038,0.0,0.004243,0.0,0.0,0.011224,0.0,0.009976,0.012559,0.0,0.003228,0.0,0.010666,0.001008,0.0,0.00315,0.0,0.0,0.001617,0.0,0.0,0.0,0.0,0.003417,0.005419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006078,0.005743,0.0,0.0,0.006187,0.002372,0.0,0.0,0.0,0.0,0.0,0.010681,0.009361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004893,0.0,0.0,0.000714,0.0,0.0,0.002329,0.0,0.0,0.0,0.0,0.0,0.0,0.001677
0.101177,0.112957,0.066457,0.071738,0.035177,0.061093,0.10869,0.029613,0.020857,0.014935,0.029392,0.010175,0.017213,0.026827,0.0,0.019118,0.001163,0.008529,0.0,0.0,0.01145,0.0,0.0,0.009643,0.0,0.012806,0.007723,0.019537,0.02217,0.009045,0.010701,0.0,0.010239,0.00861,0.0,0.004574,0.0,0.0,0.007239,0.00646,0.009477,0.013119,0.0,0.007986,0.0,0.011168,0.000911,0.008747,0.008616,0.0,0.0,0.001919,0.0,0.0,0.0,0.0,0.003707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005973,0.002219,0.005991,0.0,0.002017,0.004779,0.0,0.0,0.0,0.0,0.0,0.012086,0.00912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00479,0.0,0.0,0.004096,0.0,0.0,0.002274,0.005699,0.0,0.0,0.0,0.0,0.0,0.001715
0.101358,0.113501,0.066696,0.071947,0.035987,0.063011,0.110315,0.033798,0.021647,0.015037,0.028454,0.012395,0.018095,0.032925,0.0,0.019487,0.001037,0.009717,0.011663,0.0,0.012674,0.0,0.0,0.009573,0.0,0.008889,0.007938,0.019246,0.024428,0.006436,0.010485,0.0,0.010744,0.009421,0.0,0.004666,0.0,0.0,0.004273,0.001143,0.010334,0.013123,0.0,0.008698,0.0,0.012048,0.000943,0.008532,0.008837,0.007881,0.0,0.00192,0.0,0.0,0.0,0.0,0.00372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000883,0.002294,0.0,0.0,0.002032,0.002556,0.0,0.0,0.0,0.0,0.0,0.0,0.009462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001116,0.0,0.0,0.000503,0.0,0.0,0.002302,0.005829,0.0,0.0,0.0,0.0,0.0,0.001708
0.10151,0.112589,0.067611,0.072911,0.036761,0.057815,0.104175,0.031578,0.0,0.01596,0.02844,0.012539,0.016397,0.0,0.0,0.013646,0.000491,0.009581,0.01142,0.02005,0.015786,0.0,0.0,0.009777,0.030552,0.009178,0.008345,0.019411,0.023798,0.006348,0.008891,0.0,0.005322,0.01001,0.0,0.004524,0.0,0.0,0.004112,0.001151,0.011775,0.01228,0.0,0.008805,0.0,0.012225,0.000661,0.0,0.009559,0.007711,0.0,0.001739,0.0,0.0,0.0,0.0,0.003657,0.0,0.010334,0.0,0.0,0.0,0.0,0.00674,0.0,0.0,0.006262,0.005688,0.0,0.0,0.006897,0.002345,0.0,0.0,0.0,0.0,0.0,0.0,0.010219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005656,0.0,0.0,0.00442,0.0,0.0,0.002351,0.0,0.0,0.0,0.0,0.0,0.0,0.00166
0.101818,0.112818,0.066786,0.072622,0.036616,0.056537,0.104069,0.03144,0.020426,0.00911,0.029128,0.011621,0.017078,0.0,0.0,0.018921,0.005854,0.001962,0.011525,0.0,0.013662,0.0,0.008255,0.010711,0.029237,0.012914,0.008625,0.020167,0.021713,0.009499,0.00581,0.0,0.010377,0.0,0.0,0.004382,0.0,0.0,0.003838,0.006898,0.010129,0.012542,0.0,0.002065,0.0,0.013099,0.000308,0.00888,0.009772,0.007944,0.0,0.005021,0.0,0.0,0.0,0.0,0.00344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006571,0.006036,0.0,0.0,0.006761,0.002189,0.0,0.0,0.0,0.0,0.0,0.012397,0.009896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.000499,0.0,0.0,0.002429,0.0,0.0,0.0,0.0,0.0,0.0,0.001952
0.101918,0.113272,0.06724,0.072284,0.036485,0.057637,0.104077,0.030596,0.022363,0.009358,0.029057,0.012242,0.016744,0.0,0.0,0.018985,0.005694,0.002423,0.0,0.0,0.013808,0.0,0.0085,0.01121,0.0,0.013018,0.008576,0.01998,0.022644,0.009894,0.011548,0.013794,0.010642,0.0,0.0,0.008526,0.006072,0.0,0.003942,0.000581,0.010363,0.012447,0.0,0.009269,0.0,0.013112,0.000255,0.008906,0.002316,0.0,0.0,0.005323,0.0,0.0,0.0,0.0,0.003337,0.0,0.010112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006494,0.00625,0.006338,0.0,0.00673,0.005162,0.0,0.0,0.0,0.0,0.0,0.011847,0.010236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005919,0.0,0.0,0.0,0.0,0.0,0.002471,0.0,0.0,0.0,0.0,0.0,0.0,0.002274
0.101831,0.112725,0.06655,0.072089,0.037064,0.055877,0.103082,0.029036,0.019159,0.015438,0.027256,0.011415,0.015758,0.0,0.0,0.016312,0.000627,0.008563,0.0,0.0,0.013446,0.0,0.008524,0.010069,0.028647,0.009091,0.008011,0.019955,0.022501,0.006082,0.011141,0.011849,0.010581,0.0,0.0,0.004814,0.0,0.0,0.009609,0.006375,0.010121,0.012619,0.0,0.008274,0.0,0.013027,0.000714,0.0,0.008893,0.0,0.0,0.001232,0.0,0.0,0.0,0.0,0.00335,0.0,0.010406,0.0,0.0,0.0,0.0,0.006869,0.0,0.0,0.006316,0.006587,0.006281,0.0,0.001512,0.002209,0.0,0.0,0.0,0.0,0.0,0.010305,0.009587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005796,0.0,0.0,0.0,0.0,0.0,0.002425,0.0,0.0,0.0,0.0,0.0,0.0,0.001965
0.102183,0.113394,0.066916,0.07215,0.036628,0.056256,0.10192,0.029327,0.020521,0.015519,0.027926,0.011012,0.015732,0.0,0.0,0.018889,0.000352,0.002445,0.0,0.0,0.014142,0.0,0.008398,0.011094,0.02818,0.013277,0.004918,0.020033,0.0245,0.009755,0.011472,0.011459,0.010465,0.0,0.0,0.008238,0.000162,0.0,0.009421,0.00072,0.010689,0.012545,0.0,0.002645,0.0,0.0,0.000486,0.0,0.009299,0.007927,0.0,0.000891,0.0,0.0,0.0,0.0,0.006521,0.0,0.009846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006609,0.006434,0.006204,0.0,0.007194,0.005152,0.0,0.0,0.0,0.0,0.0,0.011719,0.01003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005931,0.0,0.0,0.0,0.0,0.0,0.002476,0.0,0.0,0.0,0.0,0.0,0.0,0.002122
0.10203,0.113259,0.066275,0.071341,0.035854,0.056107,0.103035,0.030048,0.01757,0.014951,0.02844,0.010773,0.015644,0.0,0.0,0.01987,0.005524,0.009656,0.0,0.011632,0.013661,0.0,0.0,0.010845,0.0,0.013352,0.002453,0.019974,0.022907,0.009267,0.010971,0.002973,0.010623,0.010201,0.0,0.008021,0.0,0.0,0.009324,0.006275,0.010911,0.01264,0.0,0.008867,0.0,0.0,0.005002,0.0,0.008924,0.0,0.0,0.005599,0.0,0.0,0.0,0.0,0.006637,0.0,0.010193,0.0,0.0,0.0,0.008938,0.0,0.0,0.0,0.006201,0.006799,0.005968,0.0,0.006192,0.00237,0.0,0.0,0.0,0.0,0.0,0.010851,0.009903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005429,0.0,0.0,0.004592,0.0,0.0,0.001124,0.0,0.0,0.0,0.0,0.0,0.0,0.0019
0.101882,0.114085,0.065935,0.07134,0.035963,0.055925,0.103182,0.029116,0.016393,0.014635,0.028717,0.012278,0.015146,0.0,0.0,0.019742,0.005372,0.0,0.011071,0.0,0.012702,0.0,0.0,0.009609,0.0,0.01312,0.007609,0.020943,0.020268,0.009693,0.010524,0.010963,0.010436,0.010146,0.0,0.008165,0.0,0.0,0.009254,0.006216,0.010302,0.012518,0.0,0.009276,0.0,0.012373,0.0022,0.0,0.008615,0.0,0.0,0.005607,0.0,0.0,0.0,0.0,0.006652,0.0,0.0,0.0,0.0,0.0,0.00899,0.0,0.0,0.0,0.006083,0.006551,0.005854,0.0,0.006157,0.004869,0.0,0.0,0.0,0.0,0.0,0.010477,0.009174,0.0,0.003073,0.0,0.0,0.0,0.0,0.0,0.005236,0.0,0.0,0.004423,0.0,0.0,0.001143,0.0,0.0,0.0,0.0,0.0,0.0,0.001834
0.101834,0.113673,0.065867,0.071254,0.035928,0.055144,0.101735,0.029424,0.015975,0.014883,0.027468,0.011487,0.015003,0.048543,0.0,0.019779,0.005124,0.0,0.010563,0.0,0.01183,0.0,0.0,0.009411,0.0,0.012848,0.002839,0.021253,0.019676,0.006122,0.004743,0.011883,0.005159,0.009217,0.0,0.008044,0.0,0.0,0.009145,0.001311,0.003517,0.012472,0.0,0.010035,0.0,0.01218,0.001443,0.0,0.008451,0.0,0.0,0.005041,0.0,0.0,0.0,0.0,0.00335,0.0,0.0,0.0,0.0,0.0,0.008748,0.0,0.0,0.0,0.005947,0.006526,0.006067,0.0,0.006102,0.002478,0.0,0.0,0.0,0.0,0.0,0.010737,0.009072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00499,0.0,0.0,0.004492,0.0,0.0,0.001189,0.0,0.0,0.0,0.0,0.0,0.0,0.001764
0.101793,0.113397,0.06562,0.071182,0.035938,0.045538,0.09955,0.018815,0.00704,0.015074,0.026427,0.0,0.015385,0.106546,0.0,0.01981,0.004941,0.0,0.010317,0.0,0.01106,0.0,0.007999,0.00945,0.0,0.012875,0.007108,0.009398,0.009377,0.009294,0.010417,0.0,0.009938,0.008371,0.0,0.00785,0.0,0.0,0.009663,0.005696,0.009344,0.002073,0.0,0.010971,0.0,0.001385,0.004491,0.0,0.008129,0.0,0.0,0.005252,0.0,0.0,0.0,0.0,0.006644,0.0,0.0,0.0,0.0,0.0,0.008221,0.0,0.0,0.0,0.00569,0.0,0.005931,0.0,0.006016,0.004813,0.0,0.0,0.0,0.0,0.0,0.010107,0.008409,0.0,4.5e-05,0.00496,0.0,0.0,0.0,0.0,0.004728,0.0,0.0,0.004485,0.0,0.0,0.002435,0.0,0.0,0.0,0.0,0.0,0.0,0.001626
0.101932,0.114105,0.065283,0.071194,0.035593,0.055998,0.099539,0.029462,0.016133,0.014649,0.026068,0.012871,0.015632,0.02426,0.0,0.019616,0.004829,0.0,0.01087,0.0,0.011043,0.0,0.0,0.009455,0.0,0.012725,0.007112,0.019518,0.019942,0.009228,0.010483,0.0,0.009988,0.008228,0.0,0.007841,0.0,0.0,0.009357,0.005778,0.009419,0.013306,0.0,0.011032,0.0,0.01225,0.004537,0.0,0.008093,0.0,0.0,0.004965,0.0,0.0,0.0,0.0,0.006546,0.0,0.0,0.0,0.0,0.0,0.007929,0.006738,0.0,0.0,0.005839,0.0,0.005572,0.0,0.005939,0.004739,0.0,0.0,0.0,0.0,0.0,0.01136,0.008613,0.0,0.003031,0.0,0.0,0.0,0.0,0.0,0.004701,0.0,0.0,0.00423,0.0,0.0,0.002428,0.0,0.0,0.0,0.0,0.0,0.0,0.001551
0.102,0.114609,0.065508,0.071813,0.035199,0.055872,0.099309,0.031961,0.018263,0.015233,0.026719,0.0,0.014937,0.0,0.0,0.019259,0.001777,0.0,0.010403,0.0,0.011369,0.0,0.0,0.00979,0.022137,0.012687,0.007258,0.019651,0.021832,0.00923,0.010557,0.010101,0.010419,0.008417,0.0,0.007836,0.0,0.0,0.008849,0.005797,0.009489,0.01181,0.0,0.0107,0.0,0.011787,0.004576,0.0,0.007949,0.00797,0.0,0.00484,0.0,0.0,0.0,0.0,0.006619,0.0,0.00931,0.0,0.0,0.0,0.008379,0.005848,0.0,0.0,0.006279,0.0,0.005696,0.0,0.006158,0.004771,0.0,0.0,0.0,0.0,0.0,0.0,0.008745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004876,0.0,0.0,0.004297,0.0,0.0,0.001106,0.0,0.0,0.0,0.0,0.0,0.0,0.001497
0.102479,0.115715,0.065711,0.072325,0.036157,0.055055,0.098996,0.030555,0.018431,0.016041,0.026812,0.01226,0.015141,0.0,0.0,0.020147,0.000873,0.0,0.012031,0.0,0.011767,0.0,0.0,0.010128,0.020869,0.011138,0.007871,0.020148,0.022468,0.01032,0.011008,0.010228,0.010871,0.008934,0.0,0.004783,0.0,0.0,0.009357,0.006567,0.009887,0.01231,0.0,0.009779,0.0,0.011691,0.000843,0.0,0.008768,0.0,0.0,0.000974,0.0,0.0,0.0,0.0,0.007439,0.0,0.009882,0.0,0.0,0.0,0.008436,0.006373,0.0,0.0,0.006698,0.0,0.0,0.0,0.006822,0.001982,0.0,0.0,0.0,0.0,0.0,0.012579,0.008945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000525,0.0,0.0,5.5e-05,0.0,0.0,0.000824,0.0,0.0,0.0,0.0,0.0,0.0,0.002324
