x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,objFunc
0.100552,0.111434,0.064289,0.070229,0.034251,0.053597,0.10864,0.026596,0.01479,0.013753,0.025546,0.008485,0.015224,0.02177,0.0,0.018038,0.004184,0.007383,0.008784,0.016489,0.009582,0.0,0.00738,0.007737,0.021941,0.012115,0.006488,0.016995,0.017967,0.008376,0.008919,0.009701,0.009165,0.006816,0.007279,0.007564,0.005704,0.0,0.008933,0.00533,0.00815,0.010258,0.005266,0.006672,0.0,0.008604,0.0039,0.001135,0.004524,0.001393,0.0,0.002466,0.0,0.0,0.000301,0.000115,0.004191,0.001832,0.002489,0.0,0.001515,0.000331,0.001864,0.0,0.0,0.0001,0.002214,0.002815,0.001677,0.0,0.003074,0.003051,0.0,7.8e-05,0.0,0.0,0.000833,0.004606,0.003821,0.000437,0.000646,0.001006,0.0,0.0,0.0,0.0,0.002047,0.0,0.0,0.001582,0.000759,0.0,0.001557,0.001277,0.000862,0.0,0.0,0.0,0.000521,0.000803
0.100475,0.111307,0.064489,0.070318,0.033706,0.044888,0.089629,0.026533,0.016066,0.013642,0.025938,0.008241,0.014579,0.021927,0.004499,0.014997,0.004099,0.006957,0.009041,0.003738,0.009662,0.0,0.007203,0.007972,0.0,0.010122,0.003873,0.017213,0.018031,0.007197,0.009066,0.0,0.006504,0.006876,0.009155,0.00741,0.005116,0.009074,0.00581,0.004978,0.007918,0.010537,0.005392,0.004388,0.0,0.008855,0.001995,0.00658,0.004426,0.006016,0.0,0.002607,0.0,0.0,0.003729,0.000391,0.004326,0.005537,0.008293,0.0,0.005728,0.003553,0.007643,0.005279,0.0,0.000427,0.002258,0.00302,0.001902,0.0,0.003088,0.003143,0.0,0.0,0.0,0.0,0.005758,0.009225,0.007301,0.004531,0.0007,0.001298,0.0,0.0,0.0,0.0,0.003845,0.0,0.0,0.003205,0.003187,0.0,0.002032,0.004257,0.003894,0.0,0.0,0.0,0.003407,0.000825
0.100404,0.111186,0.064189,0.070114,0.03372,0.055013,0.1013,0.027504,0.015414,0.013501,0.024898,0.008696,0.014389,0.023259,6.9e-05,0.017527,0.002348,0.003905,0.003888,0.019891,0.00624,0.0,0.001684,0.005231,0.02561,0.011789,0.004059,0.016641,0.018062,0.008311,0.00866,0.0,0.008862,0.003699,0.007664,0.007178,0.004892,0.0,0.005863,0.002674,0.005014,0.006261,0.005196,0.006744,0.0,0.004692,0.002222,0.003074,0.004634,0.002618,0.0,0.002744,0.0,0.0,0.003827,0.002211,0.005347,0.001791,0.005572,0.0,0.005469,0.000606,0.002051,0.00189,0.0,0.000599,0.002489,0.003208,0.002009,0.0,0.003307,0.003252,0.0,0.0,0.0,0.0,0.006038,0.009344,0.007069,0.004612,0.000967,0.003779,0.0,0.0,0.0,0.0,0.003669,0.0,0.0,0.003088,0.003103,0.0,0.001994,0.004019,0.00385,0.0,0.0,0.0,0.003305,0.000646
0.100494,0.110895,0.064629,0.070553,0.034097,0.053195,0.099138,0.026815,0.020976,0.01384,0.025001,0.008866,0.013828,0.030775,0.004132,0.017404,0.004199,0.00712,0.008165,0.014123,0.011095,0.0,0.0067,0.007754,0.021519,0.011715,0.006403,0.016786,0.018007,0.008373,0.008722,0.011164,0.008668,0.007152,0.007905,0.005709,0.001796,0.0,0.00575,0.00263,0.004368,0.006501,0.005219,0.004267,0.0,0.00452,0.00207,0.002756,0.004289,0.002613,0.001483,0.002647,0.0,0.0,0.0,0.00031,0.005395,0.001768,0.00322,0.0,0.001286,0.000201,0.00178,0.002135,0.0,0.000638,0.002354,0.002998,0.001743,0.0,0.002964,0.003146,0.0,0.005121,0.0,0.0,0.0,0.009612,0.003787,0.004489,0.000777,0.00133,0.0,0.0,0.0,0.0,0.001901,0.0,0.0,0.001568,0.00075,0.0,0.001591,0.00151,0.000799,0.0,0.0,0.0,0.0,0.000659
0.10073,0.11116,0.064538,0.070647,0.034284,0.053054,0.092072,0.023639,0.007625,0.013959,0.025641,0.008799,0.014382,0.003616,0.0,0.017511,0.004376,0.007107,0.008522,0.004636,0.010576,0.0,0.006078,0.008371,0.009358,0.010121,0.006714,0.01738,0.017611,0.007023,0.009066,0.010504,0.008926,0.001589,0.000811,0.005531,0.004814,0.0,0.00547,0.005101,0.008135,0.010143,0.005222,0.007144,0.0,0.009614,0.004222,0.00653,0.007598,0.005826,0.007116,0.002438,0.0,0.0,0.003602,0.000378,0.004237,0.005477,0.007624,0.0,0.006656,0.003768,0.007429,0.005227,0.0,0.000419,0.002053,0.004796,0.004793,0.0,0.002864,0.002999,0.0,0.004658,0.0,0.0,0.0,0.00922,0.007561,0.004522,0.002482,0.004156,0.0,0.0,0.0,0.0,0.004164,0.0,0.0,0.001524,0.003559,0.0,0.002089,0.004532,0.003882,0.0,0.0,0.0,0.0,0.000887
0.100812,0.111426,0.064823,0.070549,0.034296,0.053682,0.099715,0.026941,0.016689,0.0139,0.025717,0.00918,0.01431,0.02565,0.0,0.017585,0.004348,0.007135,0.008969,0.018835,0.010742,0.0,0.006262,0.00868,0.02348,0.011949,0.006752,0.017379,0.018179,0.008786,0.009436,0.010296,0.009097,0.008511,0.009051,0.005528,0.001657,4.7e-05,0.005467,0.002179,0.004639,0.006114,0.001214,0.007308,0.0,0.003691,0.004293,0.002527,0.00415,0.002146,0.001378,0.002265,0.0,0.0,5.3e-05,0.000176,0.004163,0.001268,0.006313,0.0,0.0,0.000389,0.001813,0.001763,0.0,0.000264,0.004894,0.00259,0.001765,0.0,0.002833,0.002973,0.0,0.004947,0.0,0.0,0.0,0.004086,0.003435,0.004333,0.000575,0.000892,0.0,0.0,0.0,0.0,0.001577,0.0,0.0,0.001062,0.003632,0.0,0.001493,0.001059,0.003887,0.0,0.0,0.0,0.0,0.001072
0.100687,0.111045,0.064335,0.070329,0.034372,0.052613,0.098943,0.025982,0.014864,0.013732,0.024679,0.008583,0.013694,0.0,0.0,0.015182,0.002063,0.004182,0.008693,0.017021,0.010344,0.0,0.006096,0.00799,0.021192,0.010176,0.003882,0.017163,0.017765,0.00706,0.009095,0.009184,0.006486,0.007796,0.007855,0.005769,0.001637,0.0,0.005634,0.002413,0.008042,0.010068,0.004949,0.004389,0.0,0.009426,0.002016,0.007914,0.004452,0.005811,0.006522,0.00238,0.0,0.0,0.003428,0.000365,0.004234,0.005383,0.007462,0.0,0.006462,0.000721,0.006436,0.003978,0.0,0.000489,0.002239,0.002549,0.001919,0.0,0.002977,0.003044,0.003788,0.004355,0.0,0.0,0.0,0.008177,0.007323,0.004063,0.000729,0.001252,0.0,0.0,0.0,0.0,0.001753,0.0,0.0,0.001313,0.003656,0.0,0.001541,0.004655,0.001207,0.0,0.0,0.0,0.0,0.000845
0.100909,0.111441,0.06462,0.070449,0.034313,0.052959,0.098625,0.026276,0.015716,0.013858,0.025123,0.008546,0.01379,0.0,0.0,0.01751,0.00443,0.006904,0.00879,0.016755,0.010827,0.008519,0.006165,0.008571,0.021369,0.012044,0.006591,0.017346,0.018933,0.008698,0.009354,0.009144,0.008981,0.008223,0.008738,0.005685,0.001734,0.0,0.005637,0.002278,0.004535,0.00612,0.001227,0.006896,0.0,0.010514,0.001843,0.008046,0.004172,0.002285,0.006826,0.002163,0.0,0.0,0.000282,0.000189,0.004156,0.005851,0.006795,0.0,0.006884,0.000656,0.006648,0.001384,0.0,0.000491,0.002019,0.002535,0.001863,0.0,0.002651,0.002994,0.0,0.004866,0.0,0.0,0.0,0.00894,0.003585,0.000811,0.00066,0.001061,0.0,0.0,0.0,0.0,0.001606,0.0,0.0,0.001221,0.003838,0.0,0.001499,0.000943,0.001097,0.0,0.0,0.0,0.0,0.000976
0.100927,0.111518,0.064469,0.07017,0.034097,0.053127,0.099426,0.026861,0.014595,0.013697,0.025586,0.008609,0.013889,0.032416,0.0,0.018102,0.001957,0.003423,0.003012,0.015243,0.005179,0.008566,0.001758,0.004212,0.023441,0.012172,0.003789,0.012601,0.018547,0.008532,0.005843,0.005075,0.006265,0.002804,0.008934,0.007254,0.001454,0.01029,0.005582,0.00227,0.004256,0.005897,0.00566,0.003903,0.0,0.010138,0.001998,0.0,0.00422,0.001297,0.007337,0.002069,0.0,0.0,0.0,9.5e-05,0.004033,0.001313,0.002769,0.0,0.006767,0.000617,0.002284,0.004439,0.0,0.000277,0.002097,0.002246,0.001862,0.0,0.003028,0.003023,0.0,0.0,0.0,0.0,0.0,0.008711,0.007758,0.004646,0.000718,0.00397,0.005402,0.0,0.0,0.0,0.004198,0.0,0.0,0.003485,0.00375,0.0,0.001466,0.004703,0.003877,0.0,0.0,0.0,0.0,0.00095
0.100938,0.112109,0.064434,0.070266,0.034301,0.053275,0.099803,0.02662,0.014204,0.013629,0.025972,0.009602,0.013765,0.029464,0.0,0.018179,0.00435,0.008475,0.008753,0.016206,0.010546,0.007643,0.006768,0.008146,0.024251,0.012144,0.006468,0.018242,0.01748,0.008823,0.009159,0.009224,0.009188,0.007908,0.0,0.007396,0.000272,0.0,0.005517,0.002191,0.004402,0.005777,0.000502,0.003545,0.0,0.009774,0.002083,0.0,0.004257,0.00141,0.0,0.001967,0.0,0.0,0.0,4.6e-05,0.003953,0.001089,0.005915,0.00663,0.0,0.000605,0.002072,0.000704,0.0,0.00024,0.002048,0.002255,0.001811,0.0,0.002959,0.003028,0.000153,5.5e-05,0.0,0.0,0.0,0.004461,0.003689,0.00489,0.000742,0.000896,0.005277,0.0,0.0,0.0,0.001742,0.0,0.0,0.001272,0.003719,0.0,0.001448,0.001222,0.004045,0.0,0.0,0.0,0.003602,0.000992
