Date,AAPL,ABBV,ACN,ADBE,ADI,ADP,AIG,ALL,AMT,AMZN,AON,APD,AXP,BDX,BKNG,CAT,CDNS,CI,CMCSA,CME,COST,CSCO,CSX,CTAS,CVX,DE,DHR,DIS,DUK,DXCM,EL,EOG,ETN,EW,FIS,FISV,FTNT,GE,GILD,GM,GOOGL,HD,HLT,HON,HUM,IBM,ICE,IDXX,INTC,ISRG,JPM,KDP,KLAC,KO,LHX,LIN,LOW,LRCX,MA,MAR,MCD,MDT,META,MMC,MPC,MRK,MS,MSFT,MU,NFLX,NOC,NOW,NVDA,ORCL,ORLY,PEP,PFE,PG,PGR,PLD,PPG,PYPL,REGN,ROP,RTX,SBUX,SHW,SNPS,SPGI,SYK,TGT,TMO,TRV,TSLA,TXN,UNH,V,VRTX,XOM,ZTS
2022-04-04,167.37786865234375,154.8673095703125,321.7920227050781,445.3399963378906,150.40811157226562,223.10935974121094,59.01116180419922,131.63734436035156,240.8347930908203,154.4604949951172,326.4122619628906,232.809326171875,176.03396606445312,262.8283386230469,2143.9794921875,203.77212524414062,158.24000549316406,245.08016967773438,43.02886962890625,210.83152770996094,574.5476684570312,49.08018493652344,32.942779541015625,106.16234588623047,151.21377563476562,401.2703857421875,261.8334655761719,130.26080322265625,102.22095489501953,126.49749755859375,253.59780883789062,109.18280792236328,137.58236694335938,123.91999816894531,94.4765853881836,,67.16600036621094,55.08556365966797,55.42667007446289,38.261775970458984,132.65330505371094,288.1106262207031,143.92584228515625,178.49758911132812,445.64605712890625,112.49008178710938,124.57713317871094,547.1199951171875,43.94166946411133,289.8599853515625,122.07850646972656,34.913330078125,329.99542236328125,58.33452606201172,241.82504272460938,305.20965576171875,193.79061889648438,48.209312438964844,345.4883728027344,159.21307373046875,234.7669219970703,101.85079193115234,221.28707885742188,164.7239532470703,81.2314224243164,80.46183776855469,74.84954833984375,289.4808349609375,70.69950866699219,355.8800048828125,441.9503479003906,515.5999755859375,23.082420349121094,77.24182891845703,736.469970703125,158.4705352783203,47.74773406982422,147.6298370361328,114.8625259399414,154.30447387695312,124.8079605102539,111.20999908447266,737.8917846679688,473.0828552246094,93.44583892822266,75.981689453125,256.5777282714844,319.8299865722656,402.37646484375,260.9340515136719,214.07257080078125,604.0794677734375,173.96849060058594,341.8299865722656,158.1511688232422,522.1903076171875,212.02183532714844,280.2799987792969,78.27035522460938,193.97677612304688
2022-04-11,162.65440368652344,143.6700439453125,303.324951171875,420.44000244140625,148.2856903076172,215.12200927734375,58.908355712890625,130.92318725585938,231.00830078125,151.7064971923828,321.2739562988281,228.7685546875,174.09274291992188,259.25927734375,2203.2021484375,213.8936309814453,149.8000030517578,246.32504272460938,43.417728424072266,206.6235809326172,565.3076782226562,46.58495330810547,33.643272399902344,102.340087890625,152.69093322753906,418.96929931640625,242.31565856933594,128.87789916992188,101.77789306640625,123.02749633789062,250.96324157714844,105.79235076904297,132.58815002441406,120.0199966430664,94.86549377441406,,66.35199737548828,55.754642486572266,54.999629974365234,39.02021408081055,126.12700653076172,282.0078430175781,153.91793823242188,183.21910095214844,448.32305908203125,111.45967102050781,119.43638610839844,496.7799987792969,42.680049896240234,279.70001220703125,116.19345092773438,34.53312683105469,310.9139404296875,59.422061920166016,241.24398803710938,305.8818054199219,188.74562072753906,44.7302131652832,351.41864013671875,175.39088439941406,233.87997436523438,98.72652435302734,209.19407653808594,162.54998779296875,81.51187133789062,79.75521850585938,75.47283935546875,272.7730712890625,68.82355499267578,341.1300048828125,445.3246154785156,507.3299865722656,21.224367141723633,76.11651611328125,713.8800048828125,157.3446807861328,45.973533630371094,146.2190399169922,108.7547378540039,148.86061096191406,120.79618072509766,102.30999755859375,732.0792846679688,453.0671691894531,97.04778289794922,74.09892272949219,246.01344299316406,294.7699890136719,377.5377502441406,253.4102020263672,217.6138458251953,564.4334106445312,173.38504028320312,328.3333435058594,157.74241638183594,511.5353698730469,207.9275360107422,287.9700012207031,79.16268157958984,181.57757568359375
2022-04-18,159.21023559570312,138.35667419433594,295.9717712402344,408.6700134277344,147.10128784179688,209.7908935546875,56.48771286010742,122.49240112304688,238.02330017089844,144.35000610351562,314.79486083984375,225.1355438232422,173.49693298339844,243.38002014160156,2189.92724609375,203.08673095703125,148.07000732421875,242.38137817382812,41.41018295288086,193.80850219726562,547.4118041992188,46.7579345703125,33.125099182128906,100.93487548828125,143.22280883789062,387.14013671875,231.45001220703125,116.8267593383789,101.27275848388672,110.1624984741211,251.1249237060547,100.52887725830078,138.3973388671875,118.37999725341797,92.56908416748047,,60.858001708984375,54.67429733276367,55.38218688964844,38.73823547363281,119.06624603271484,277.9238586425781,151.71177673339844,178.93875122070312,432.6702575683594,121.75491333007812,112.45414733886719,473.6400146484375,43.49310302734375,252.33999633789062,116.82914733886719,34.310577392578125,313.6218566894531,59.63226318359375,232.31251525878906,297.4310302734375,184.78843688964844,45.41366958618164,344.8973388671875,174.3998565673828,233.5625457763672,97.6217269897461,183.2463836669922,163.5745086669922,81.3996810913086,77.6261978149414,75.45503234863281,267.119384765625,68.11697387695312,215.52000427246094,426.45166015625,471.3999938964844,19.484128952026367,73.01243591308594,707.77001953125,157.57350158691406,41.65485382080078,148.6902313232422,105.09754943847656,154.37770080566406,125.10931396484375,86.02999877929688,687.1969604492188,446.11138916015625,93.52960968017578,72.62626647949219,238.25071716308594,285.0,369.8134460449219,240.44435119628906,221.72390747070312,556.8731079101562,162.9107666015625,335.01666259765625,157.4244842529297,498.2596130371094,203.41314697265625,270.4200134277344,76.72911071777344,176.39097595214844
2022-04-25,155.13623046875,131.11705017089844,286.0298156738281,395.95001220703125,146.27696228027344,204.77886962890625,54.68392562866211,117.3634262084961,219.046875,124.28150177001953,281.86102294921875,216.9334716796875,167.89434814453125,235.88893127441406,2186.40576171875,198.62660217285156,150.85000610351562,234.51292419433594,36.28181457519531,190.69601440429688,509.1302795410156,44.591190338134766,32.95237731933594,98.28031921386719,139.4142303466797,362.17938232421875,219.7008056640625,110.26778411865234,97.62168884277344,102.1449966430664,251.14393615722656,101.08294677734375,137.4307098388672,105.77999877929688,91.80979919433594,,57.801998138427734,45.761409759521484,52.79323959350586,36.861602783203125,113.56654357910156,278.1924133300781,153.63104248046875,181.64210510253906,432.74810791015625,116.43555450439453,111.07302856445312,430.4800109863281,40.73623275756836,239.3000030517578,109.96549987792969,34.681495666503906,308.7669372558594,59.04737091064453,217.67347717285156,299.5821228027344,186.16693115234375,45.671566009521484,356.879150390625,172.4857177734375,232.61961364746094,94.50651550292969,199.52960205078125,154.83230590820312,81.56794738769531,81.388671875,71.75975036621094,270.5213317871094,66.91971588134766,190.36000061035156,418.8262634277344,478.1000061035156,18.517656326293945,70.32035064697266,606.5499877929688,157.17076110839844,42.46839141845703,148.87533569335938,104.14688110351562,146.6555938720703,120.53250122070312,87.93000030517578,658.2640991210938,461.6734619140625,88.33610534667969,69.5691146850586,267.47265625,286.7900085449219,366.7353515625,233.61766052246094,209.7698211669922,548.5787353515625,160.9815673828125,290.2533264160156,154.6449737548828,486.4090270996094,208.2598114013672,273.2200012207031,76.83728790283203,172.13546752929688
2022-05-02,154.77215576171875,136.42848205566406,281.6302795410156,391.010009765625,147.93511962890625,203.61508178710938,58.16067123413086,121.09188842773438,221.8188018798828,114.77249908447266,280.6914367675781,218.55532836914062,160.6292724609375,246.17608642578125,2170.49951171875,202.50399780273438,146.3699951171875,253.63279724121094,36.50082778930664,182.8974151611328,482.75921630859375,44.90983200073242,33.37458801269531,94.98501586914062,151.8900604248047,362.0930480957031,218.04733276367188,108.94414520263672,98.649658203125,87.97250366210938,228.546142578125,114.46714782714844,139.58189392089844,100.5199966430664,90.99494171142578,,53.27399826049805,48.020328521728516,54.430240631103516,38.48542404174805,115.19574737548828,272.5525817871094,141.9472198486328,183.44436645507812,419.2174987792969,121.24410247802734,95.72747802734375,366.6400146484375,41.399742126464844,224.85000610351562,113.98234558105469,34.27347183227539,320.4595642089844,59.16616439819336,228.516845703125,296.4130859375,181.04507446289062,46.89435958862305,340.9100036621094,167.62747192382812,234.13204956054688,93.68244171142578,202.8141326904297,154.8993377685547,89.66304016113281,81.1133804321289,75.64502716064453,267.80169677734375,69.03946685791016,180.97000122070312,446.7543640136719,456.739990234375,18.64545249938965,69.4485092163086,608.4000244140625,155.9808349609375,42.44242858886719,144.65621948242188,106.18402862548828,128.8966522216797,121.0410385131836,81.68000030517578,622.2503662109375,431.59075927734375,88.69908905029297,71.32137298583984,265.93572998046875,274.7099914550781,336.7926940917969,232.4750518798828,206.61386108398438,542.3877563476562,161.52737426757812,288.54998779296875,152.10159301757812,477.8678283691406,198.18540954589844,253.92999267578125,82.64175415039062,164.3274688720703
2022-05-09,144.97702026367188,137.02659606933594,273.0882263183594,405.45001220703125,150.40811157226562,195.96563720703125,54.730655670166016,118.8937759399414,211.44903564453125,113.05500030517578,275.1126403808594,216.59982299804688,152.55697631835938,237.08177185058594,2079.158447265625,192.76800537109375,142.44000244140625,246.30609130859375,37.851348876953125,173.96859741210938,476.9185485839844,45.11921310424805,32.07914352416992,93.01326751708984,149.38067626953125,351.76153564453125,218.00360107421875,106.02027130126953,96.85957336425781,83.68499755859375,228.63172912597656,107.5932388305664,133.93382263183594,97.55000305175781,89.35598754882812,,56.310001373291016,46.06832504272461,55.48894500732422,37.1533088684082,115.4983139038086,274.1454772949219,135.13082885742188,181.66090393066406,427.2287902832031,117.65970611572266,94.25047302246094,362.17999267578125,41.067657470703125,223.69000244140625,109.71674346923828,34.505306243896484,325.3628845214844,60.06180191040039,221.3472900390625,296.5186767578125,182.65505981445312,48.23676681518555,326.84613037109375,161.6810302734375,228.77305603027344,92.97607421875,197.68829345703125,153.1566162109375,89.62566375732422,82.96708679199219,72.33111572265625,254.53488159179688,70.58020782470703,187.63999938964844,431.6274108886719,452.6499938964844,17.67798614501953,68.18392181396484,635.6199951171875,159.01055908203125,43.204036712646484,142.44924926757812,104.5931167602539,117.43246459960938,115.23053741455078,78.83000183105469,644.6915283203125,422.77813720703125,85.55320739746094,70.46388244628906,265.88714599609375,275.989990234375,328.11376953125,225.8807830810547,201.5863494873047,537.1690673828125,162.60018920898438,256.5299987792969,155.23007202148438,464.2669677734375,194.6774139404297,246.72000122070312,80.09104919433594,160.55943298339844
2022-05-16,135.5950469970703,134.80381774902344,263.4510498046875,399.0899963378906,153.9138946533203,195.82485961914062,51.982906341552734,114.10797119140625,222.00967407226562,107.59100341796875,257.57257080078125,220.1957550048828,147.26194763183594,240.7653045654297,2093.0166015625,186.62635803222656,146.60000610351562,246.59112548828125,38.33498001098633,167.02206420898438,399.386962890625,39.09239959716797,29.689760208129883,90.19129943847656,149.33615112304688,300.5547180175781,220.2869415283203,101.17017364501953,98.20938873291016,80.30750274658203,225.60728454589844,105.66265106201172,127.8555679321289,94.31999969482422,92.30056762695312,,57.055999755859375,46.19109344482422,56.79676818847656,34.421024322509766,108.3897933959961,265.958984375,128.8882293701172,179.0264129638672,427.9394226074219,114.5231704711914,93.62706756591797,372.2300109863281,39.23091125488281,219.07000732421875,108.1044921875,32.06647872924805,325.536865234375,55.729888916015625,214.99307250976562,302.67431640625,173.88949584960938,46.491329193115234,330.1657409667969,151.10531616210938,218.38194274902344,92.84930419921875,192.6321258544922,143.485595703125,90.26129150390625,85.84858703613281,71.2803726196289,246.19081115722656,67.61647033691406,186.35000610351562,422.5722351074219,433.0299987792969,16.66758918762207,65.75048065185547,572.5700073242188,148.4751739501953,45.78129577636719,131.47952270507812,107.6682357788086,109.53652954101562,113.2264404296875,80.54000091552734,660.29150390625,410.1340637207031,83.84065246582031,68.88581085205078,250.92591857910156,306.7200012207031,333.539306640625,224.89309692382812,142.53155517578125,550.791259765625,158.3277130126953,221.3000030517578,155.29408264160156,464.58258056640625,194.85342407226562,258.5899963378906,83.64307403564453,157.86935424804688
2022-05-23,147.4703369140625,133.9022216796875,289.6390380859375,428.2200012207031,158.7556915283203,210.8608856201172,55.141883850097656,126.96284484863281,237.1689910888672,115.14649963378906,276.1716003417969,232.2996063232422,162.9837188720703,244.735107421875,2241.473876953125,204.85313415527344,156.24000549316406,258.8594665527344,40.29690170288086,173.82080078125,451.4934387207031,41.53226089477539,30.75490379333496,98.44847106933594,159.94918823242188,346.044189453125,233.13845825195312,107.9859848022461,102.29586029052734,72.2699966430664,239.5406951904297,118.47552490234375,133.26947021484375,101.12000274658203,97.3748779296875,,59.57400131225586,48.34565353393555,57.65085220336914,37.503353118896484,111.7820816040039,285.6565856933594,140.73031616210938,185.25340270996094,448.9557189941406,124.14104461669922,98.49927520751953,398.6099853515625,41.96247863769531,229.16000366210938,120.93811798095703,32.62286376953125,360.2661437988281,59.11134719848633,225.7895965576172,316.55096435546875,187.95582580566406,52.07084274291992,351.37933349609375,167.97486877441406,235.149658203125,89.72505950927734,194.2146759033203,154.34396362304688,96.0171890258789,85.41727447509766,77.63874053955078,266.9696044921875,71.95413970947266,195.19000244140625,448.7178955078125,476.2900085449219,18.781240463256836,69.72637176513672,647.3400268554688,157.22567749023438,47.03773880004883,137.90557861328125,116.73841094970703,116.43516540527344,123.01834106445312,85.20999908447266,691.9108276367188,436.0904541015625,90.54917907714844,72.00205993652344,269.44744873046875,322.9599914550781,351.2867431640625,229.00843811035156,153.9709014892578,567.856201171875,167.35269165039062,253.2100067138672,162.75653076171875,485.0317077636719,208.412841796875,273.7300109863281,88.86053466796875,167.1340789794922
2022-05-30,143.27207946777344,131.3759002685547,290.40087890625,429.760009765625,157.29586791992188,207.12533569335938,53.54370880126953,122.39962768554688,242.41297912597656,122.3499984741211,263.3277893066406,233.80099487304688,160.32179260253906,240.80349731445312,2310.60791015625,210.28720092773438,158.55999755859375,241.34555053710938,39.17449951171875,173.88168334960938,456.7588195800781,41.19541549682617,30.910364151000977,98.24507141113281,159.339111328125,346.30316162109375,232.75355529785156,107.34391021728516,99.39866638183594,73.19750213623047,251.92491149902344,123.34955596923828,133.77464294433594,96.7300033569336,96.13407897949219,,59.327999114990234,47.246891021728516,56.449798583984375,36.56990051269531,113.9959945678711,282.5264587402344,140.81153869628906,183.8098602294922,430.6552734375,125.84354400634766,96.81127166748047,372.6300048828125,40.8698616027832,217.7899932861328,119.91548919677734,32.39103698730469,351.6978454589844,57.54856872558594,227.8701934814453,318.7309875488281,184.02023315429688,50.399932861328125,351.41864013671875,170.0093231201172,231.87271118164062,86.46495819091797,189.8850555419922,150.5808563232422,99.3274917602539,82.50823974609375,75.54624938964844,263.823486328125,68.63710021972656,198.97999572753906,457.6653747558594,492.4800109863281,18.690383911132812,68.77790069580078,631.6099853515625,150.8916015625,46.418235778808594,135.28138732910156,115.54523468017578,116.72794342041016,118.69476318359375,86.52999877929688,629.5409545898438,424.4778747558594,90.19339752197266,74.19844818115234,262.1640319824219,327.67999267578125,328.0195617675781,221.765380859375,148.35153198242188,553.7181396484375,163.92715454101562,234.51666259765625,157.59866333007812,464.4678039550781,208.18760681152344,269.44000244140625,90.22634887695312,164.1332244873047
2022-06-06,135.14170837402344,127.83196258544922,272.3645324707031,393.8399963378906,149.37588500976562,198.62184143066406,49.936119079589844,116.28865814208984,228.1260986328125,109.6500015258789,248.679931640625,230.02899169921875,148.39590454101562,237.9311065673828,2082.19482421875,203.00405883789062,149.11000061035156,240.6993408203125,37.98822784423828,173.79473876953125,444.3483581542969,39.593116760253906,29.167984008789062,92.95443725585938,157.3653106689453,321.58233642578125,220.00701904296875,98.1870346069336,96.36734771728516,73.4625015258789,237.87078857421875,124.66551971435547,130.6101837158203,93.0,90.55974578857422,,57.6619987487793,43.72347640991211,54.03878402709961,34.041805267333984,110.632568359375,269.5490417480469,126.25198364257812,175.75253295898438,432.38800048828125,121.39563751220703,93.780517578125,345.8900146484375,36.90437698364258,205.27000427246094,110.14057159423828,32.91033172607422,323.77081298828125,56.12287521362305,226.38027954101562,299.6515808105469,175.43359375,46.519771575927734,328.7613220214844,155.62203979492188,222.84991455078125,83.98365783691406,174.7464141845703,143.66749572753906,101.88544464111328,80.00297546386719,69.51115417480469,247.184326171875,61.45346450805664,182.94000244140625,443.7452087402344,473.1499938964844,16.947145462036133,64.32300567626953,607.4400024414062,149.7935791015625,43.59999084472656,131.62786865234375,110.16132354736328,107.26747131347656,109.65027618408203,79.30000305175781,571.0761108398438,383.8338623046875,89.40689849853516,71.02587890625,241.24008178710938,305.3900146484375,324.9241943359375,209.54515075683594,137.87738037109375,522.7432250976562,159.3252716064453,232.22999572753906,144.2924346923828,463.53045654296875,195.32337951660156,254.8800048828125,91.47379302978516,156.83021545410156
2022-06-13,129.65248107910156,123.43997955322266,262.2416076660156,360.7900085449219,137.6767120361328,188.87124633789062,48.09494400024414,112.52717590332031,214.6390380859375,106.22000122070312,246.72885131835938,218.69436645507812,138.55535888671875,225.3312225341797,1886.247314453125,181.7394561767578,143.08999633789062,233.3771209716797,35.323665618896484,175.22044372558594,428.4085693359375,39.5020751953125,27.849166870117188,86.15574645996094,133.12351989746094,309.5816345214844,208.73895263671875,93.18878173828125,87.47010803222656,68.80999755859375,226.76287841796875,96.67635345458984,119.63941192626953,87.79000091552734,85.42791748046875,,53.79800033569336,40.51312255859375,52.072601318359375,30.998363494873047,106.6336898803711,252.29920959472656,115.16891479492188,169.5443572998047,417.0564880371094,120.35274505615234,86.63526153564453,328.04998779296875,34.82273483276367,192.0800018310547,104.13373565673828,31.85318946838379,302.684814453125,54.31333923339844,208.62245178222656,280.172119140625,162.3841094970703,41.1314697265625,305.1317443847656,141.3710479736328,220.03350830078125,79.89041900634766,162.97190856933594,138.3053741455078,82.08953857421875,77.65373992919922,65.46981048583984,241.9668731689453,54.711448669433594,175.50999450683594,424.716064453125,443.7900085449219,15.858227729797363,64.87866973876953,586.719970703125,144.76113891601562,40.598506927490234,122.73522186279297,106.28104400634766,100.97268676757812,104.08734893798828,72.9000015258789,580.2044067382812,368.13421630859375,83.2179946899414,67.4591064453125,217.22525024414062,296.17999267578125,312.39630126953125,187.9418487548828,128.32443237304688,496.9671630859375,153.15184020996094,216.75999450683594,137.36036682128906,432.37841796875,186.0227508544922,263.0899963378906,78.41653442382812,154.24697875976562
2022-06-20,139.60604858398438,135.99111938476562,285.0870666503906,387.7200012207031,142.4934539794922,206.3268280029297,49.62453842163086,118.68741607666016,239.213134765625,116.45999908447266,266.42596435546875,233.62490844726562,140.44851684570312,240.25880432128906,1910.165771484375,174.9940643310547,157.6199951171875,253.0479736328125,36.108436584472656,183.4951934814453,464.5464172363281,40.14845275878906,28.46525764465332,94.05076599121094,129.88473510742188,298.2140197753906,224.6874237060547,96.58679962158203,93.47015380859375,77.66999816894531,257.6266174316406,97.05760192871094,125.65380096435547,96.9800033569336,91.74385833740234,,59.130001068115234,41.176055908203125,56.8218879699707,33.857059478759766,117.41365051269531,263.73394775390625,115.59481048583984,169.84629821777344,444.6726379394531,126.62798309326172,94.27520751953125,361.4800109863281,36.36747741699219,209.6699981689453,108.08606719970703,33.160709381103516,329.4377136230469,58.02878189086914,219.90234375,292.2684631347656,172.14768981933594,44.14480209350586,324.58734130859375,135.6862335205078,232.72592163085938,81.70160675048828,169.36180114746094,152.08416748046875,80.57545471191406,86.16258239746094,69.88834381103516,261.5567626953125,57.35133361816406,190.85000610351562,443.6303405761719,504.0899963378906,17.102521896362305,67.73363494873047,639.0599975585938,153.12091064453125,45.01347732543945,133.85336303710938,112.51860046386719,112.96887969970703,114.48472595214844,77.68000030517578,611.7039184570312,400.5551452636719,88.19908905029297,73.3161392211914,225.4739227294922,317.4700012207031,333.61468505859375,197.95433044433594,138.5682830810547,540.8494262695312,157.73086547851562,245.7066650390625,142.61888122558594,475.7517395019531,201.1974334716797,292.54998779296875,79.12675476074219,169.5716094970703
2022-06-27,136.9155731201172,137.29440307617188,267.26025390625,368.4800109863281,136.03944396972656,201.0835723876953,48.919246673583984,121.9915542602539,236.24180603027344,109.55999755859375,268.5633850097656,224.97799682617188,134.9228515625,241.1014404296875,1748.859375,168.2014617919922,149.63999938964844,255.81578063964844,36.76544952392578,178.49716186523438,465.87957763671875,38.782867431640625,28.243850708007812,93.4381103515625,131.44578552246094,289.35028076171875,225.9844970703125,94.96681213378906,98.02161407470703,77.62999725341797,244.58319091796875,97.9615707397461,121.40274047851562,97.38999938964844,87.04644012451172,,57.369998931884766,39.003074645996094,56.17331314086914,31.299787521362305,108.22010803222656,260.0807800292969,111.91035461425781,165.2137908935547,466.2341613769531,125.79008483886719,91.6947021484375,358.44000244140625,34.22932434082031,206.10000610351562,105.07345581054688,33.44816970825195,287.479248046875,59.26226043701172,229.02609252929688,275.12152099609375,166.98814392089844,38.71630096435547,312.546630859375,135.4818115234375,237.4761962890625,83.38739776611328,159.27931213378906,149.80526733398438,79.44695281982422,85.50570678710938,68.92740631103516,253.6230926513672,52.650569915771484,179.9499969482422,465.31915283203125,484.3599853515625,14.503087997436523,67.89649200439453,636.0800170898438,156.12562561035156,45.641700744628906,135.48536682128906,114.93409729003906,110.60978698730469,111.50458526611328,71.4000015258789,594.6358642578125,393.63873291015625,90.83943939208984,74.39555358886719,229.3545379638672,301.2300109863281,335.24530029296875,197.40237426757812,131.16177368164062,544.2843017578125,161.95037841796875,227.26333618164062,135.8423309326172,496.6385192871094,195.0002899169922,287.32000732421875,79.71862030029297,169.18319702148438
2022-07-04,144.90802001953125,136.44635009765625,265.7556457519531,389.44000244140625,142.73141479492188,204.89340209960938,48.402034759521484,122.15023803710938,233.1425018310547,115.54000091552734,269.0045166015625,216.65321350097656,136.7396240234375,235.2222900390625,1750.34326171875,168.9656219482422,160.4199981689453,266.4672546386719,36.464317321777344,182.53402709960938,481.0137939453125,39.5020751953125,27.906923294067383,94.5195541381836,128.09036254882812,293.30975341796875,230.9849853515625,94.69023895263672,94.70413970947266,81.23999786376953,239.77772521972656,92.60799407958984,121.83165740966797,98.38999938964844,87.79059600830078,,62.70000076293945,38.87142562866211,56.60569381713867,31.416467666625977,118.78559875488281,266.9676513671875,110.52372741699219,163.5438232421875,471.3403015136719,125.21070098876953,92.31095123291016,378.45001220703125,35.78349304199219,208.80999755859375,105.35904693603516,33.74653244018555,307.4493103027344,58.1208381652832,224.2523651123047,263.78662109375,171.00843811035156,40.705902099609375,317.2804260253906,134.1384735107422,237.73907470703125,81.65360260009766,170.0784149169922,148.98179626464844,78.30905151367188,85.83877563476562,68.9094467163086,261.5177001953125,58.03829574584961,186.97999572753906,459.6362609863281,494.1499938964844,15.816285133361816,68.85455322265625,657.8800048828125,158.42063903808594,46.392066955566406,134.47467041015625,116.77720642089844,112.03813934326172,111.51404571533203,73.43000030517578,620.7722778320312,394.9649963378906,89.06048583984375,74.41432189941406,232.338134765625,317.5400085449219,344.1798400878906,195.20265197753906,136.3297576904297,549.6847534179688,159.88795471191406,250.76333618164062,142.2347869873047,497.8191223144531,199.29818725585938,294.2900085449219,78.38009643554688,172.8444061279297
2022-07-11,147.99261474609375,137.1337127685547,258.5657958984375,379.8599853515625,150.37538146972656,201.93231201171875,47.094886779785156,114.24457550048828,235.14474487304688,113.55000305175781,266.2886962890625,210.1128387451172,137.43406677246094,229.0750732421875,1680.2197265625,163.5692901611328,157.0,261.6186828613281,37.573890686035156,176.45249938964844,501.5474548339844,39.563663482666016,27.781782150268555,96.30789947509766,123.49679565429688,286.6278991699219,223.99659729003906,94.03828430175781,96.06331634521484,79.13999938964844,234.11412048339844,85.37627410888672,122.94685363769531,99.43000030517578,88.57193756103516,,60.220001220703125,38.63174819946289,56.38949966430664,31.960981369018555,111.24564361572266,272.5032958984375,115.22834014892578,163.03431701660156,475.3966979980469,124.72044372558594,92.27243041992188,370.1400146484375,36.37689971923828,210.9199981689453,104.98050689697266,34.147396087646484,316.56109619140625,57.53171157836914,210.75975036621094,266.9673767089844,174.18136596679688,41.88357925415039,327.1209716796875,139.541015625,239.4007110595703,81.32506561279297,163.9274139404297,144.56759643554688,79.39051055908203,87.85569763183594,70.09489440917969,250.8287353515625,60.50199508666992,189.11000061035156,441.2386474609375,435.6199951171875,15.74039077758789,67.77195739746094,683.2000122070312,157.72012329101562,45.15308380126953,134.52101135253906,112.70211791992188,111.51288604736328,110.50175476074219,73.91000366210938,606.76025390625,388.8111267089844,85.41828918457031,74.73345947265625,239.436279296875,314.29998779296875,341.22119140625,189.25559997558594,135.1137237548828,534.9525756835938,147.7591552734375,240.06666564941406,146.8164825439453,508.49298095703125,205.63238525390625,292.8399963378906,76.97785949707031,169.50369262695312
2022-07-18,151.85580444335938,133.776123046875,275.2445983886719,401.8999938964844,155.4205780029297,207.7885284423828,48.27037811279297,108.4576644897461,237.33892822265625,122.41999816894531,274.0244445800781,218.84576416015625,147.5911865234375,231.84230041503906,1790.3062744140625,168.51278686523438,167.7100067138672,256.9325256347656,39.1356315612793,178.67190551757812,508.0404357910156,40.84050750732422,29.735939025878906,98.40381622314453,129.36434936523438,300.6463623046875,239.81240844726562,101.46652221679688,93.87254333496094,83.77999877929688,247.99659729003906,89.3150634765625,130.2479705810547,102.58000183105469,92.10662841796875,,61.22999954223633,41.90739440917969,54.76808166503906,33.71120834350586,107.38658905029297,285.7178649902344,119.6754379272461,171.21435546875,476.7910461425781,114.31816864013672,95.43067932128906,393.510009765625,36.923213958740234,211.85000610351562,106.66278839111328,33.96094512939453,343.52734375,56.694053649902344,211.974365234375,275.2179260253906,184.14266967773438,45.498008728027344,338.2456359863281,146.90011596679688,238.44317626953125,82.78512573242188,168.47596740722656,150.17869567871094,80.5472412109375,83.3685302734375,74.0284652709961,254.3851318359375,60.26600646972656,220.44000244140625,432.2933044433594,446.7699890136719,17.29525375366211,72.07833862304688,688.2000122070312,156.32838439941406,44.699371337890625,132.62005615234375,107.95442199707031,116.94062042236328,120.84236145019531,81.05000305175781,585.3577880859375,404.3282165527344,88.20845794677734,78.45979309082031,252.54058837890625,338.0400085449219,353.4171142578125,193.78390502929688,145.31149291992188,557.4578247070312,147.98622131347656,272.24334716796875,149.88926696777344,500.4876708984375,209.21560668945312,280.2900085449219,79.2906494140625,173.0386199951172
2022-07-25,160.15371704101562,129.3070068359375,292.6857604980469,410.1199951171875,163.6927947998047,227.3848419189453,48.684146881103516,109.17636108398438,247.60592651367188,134.9499969482422,285.34857177734375,231.59994506835938,148.5654296875,233.92965698242188,1914.7557373046875,188.33468627929688,186.0800018310547,262.81170654296875,34.46875,174.302978515625,519.1464233398438,41.67641830444336,31.122140884399414,105.53736877441406,146.9401092529297,330.4164123535156,255.25167846679688,104.8052749633789,98.29882049560547,82.08000183105469,260.3916931152344,98.35269165039062,141.43797302246094,100.54000091552734,95.02739715576172,,59.650001525878906,45.42272186279297,53.82225036621094,35.25723648071289,115.76652526855469,280.45257568359375,126.84626007080078,181.58326721191406,469.9946594238281,116.58224487304688,98.2037353515625,399.17999267578125,34.201072692871094,230.1699981689453,107.22045135498047,36.114383697509766,372.1724548339844,59.0689582824707,225.9472198486328,291.0828857421875,181.35443115234375,49.0790901184082,347.9932861328125,154.59994506835938,247.24900817871094,84.42768096923828,158.3536834716797,156.9962921142578,86.19918823242188,82.6561279296875,75.70787811279297,274.29754638671875,60.82648849487305,224.89999389648438,458.1725158691406,446.6600036621094,18.138099670410156,74.9075927734375,703.5900268554688,161.25942993164062,44.07115173339844,129.6451416015625,111.7117919921875,122.15641784667969,122.31824493408203,86.52999877929688,580.9434814453125,429.6651611328125,87.27217102050781,79.5767822265625,235.89697265625,367.5,368.05413818359375,208.68064880371094,150.5071563720703,594.0598754882812,150.14328002929688,297.1499938964844,163.59788513183594,520.5778198242188,207.65895080566406,280.4100036621094,88.25955963134766,177.60789489746094
